submodel,outcome,species,predictor,estimate,std_dev,lower95,upper95
mort,dmort,cade,n_sm,0.061004071,0.125894834,-0.136803692,0.279102224
mort,dmort,pije,n_sm,-0.086032415,0.13975473,-0.328097778,0.127701335
mort,dmort,pila,n_sm,0.05076041,0.091818827,-0.097228976,0.204277686
mort,dmort,abco,n_lg,0.290697067,0.038253142,0.228983891,0.355251342
mort,dmort,abma,n_lg,-0.021189877,0.12765143,-0.234149127,0.181742366
mort,dmort,cade,n_lg,0.145901646,0.133152672,-0.071513128,0.368237189
mort,dmort,pije,n_lg,0.313496368,0.172277564,0.053410385,0.615506129
mort,dmort,pila,n_lg,0.025713813,0.098227748,-0.136654231,0.184743099
mort,dmort,abco,burned,-0.07884091,0.202926333,-0.406219577,0.266280743
mort,dmort,abma,burned,-0.088434329,0.433205216,-0.827184142,0.585975093
mort,dmort,cade,burned,0.546002893,0.384560638,-0.028050295,1.217939829
mort,dmort,pije,burned,-0.401749357,0.375613165,-1.069627535,0.150315302
mort,dmort,pila,burned,0.349626006,0.262251982,-0.043317959,0.80571923
mort,dmort,abco,srad,0.050968348,0.031266596,0.000568315,0.103619654
mort,dmort,abma,srad,-0.043002593,0.063490673,-0.15927709,0.045124875
mort,dmort,cade,srad,0.075763374,0.112573905,-0.063342672,0.296199335
mort,dmort,pije,srad,0.036664661,0.098781075,-0.100736631,0.208413463
mort,dmort,pila,srad,0.020224323,0.06175673,-0.071346021,0.131950953
mort,dmort,abco,twi,-0.007493407,0.028656828,-0.054886272,0.039974969
mort,dmort,abma,twi,-0.108254964,0.106458505,-0.295296523,0.049914292
mort,dmort,cade,twi,-0.320554053,0.178405412,-0.617934856,-0.018615211
mort,dmort,pije,twi,-0.009507095,0.141338976,-0.2450836,0.22847434
mort,dmort,pila,twi,0.103100848,0.085576522,-0.023678088,0.248571588
mort,dmort,abco,n_sm:dbh,-0.124737783,0.033696583,-0.179673481,-0.068169711
mort,dmort,abma,n_sm:dbh,-0.009067287,0.08055539,-0.14490257,0.125792485
mort,dmort,cade,n_sm:dbh,-0.109235247,0.104452631,-0.288618745,0.048452889
mort,dmort,pije,n_sm:dbh,-0.039823041,0.091984293,-0.193945022,0.109718117
mort,dmort,pila,n_sm:dbh,0.038391662,0.066533602,-0.064828905,0.152475854
mort,dmort,abco,n_lg:dbh,-0.051063114,0.03381724,-0.108749242,0.000266595
mort,dmort,abma,n_lg:dbh,0.005657084,0.061033565,-0.092787648,0.114101324
mort,dmort,cade,n_lg:dbh,-0.034677351,0.075155521,-0.172774014,0.071545695
mort,dmort,pije,n_lg:dbh,-0.024395625,0.070727572,-0.149941318,0.081690798
mort,dmort,pila,n_lg:dbh,-0.016825223,0.04957393,-0.105430593,0.056255338
